unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
361,The Water Lily Pond,8,It makes me feel happy and fresh.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,2,2,50,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer",It would be any happy comforting food.,It would be a happy calm soundtrack maybe with nature sounds.
362,The Water Lily Pond,4,relaxed ,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,300,Dining room,"Friends,Family members","Spring,Summer",strawberry ,whimsical fairy-like
363,The Water Lily Pond,3,"It makes me feel 'meh'. It just looks like a picture, meant to replicate real life. ",1 - Strongly disagree,2 - Disagree,3 - Neutral/Unsure,1 - Strongly disagree,3,2,40,Bathroom,Strangers,Spring,Salad without any dressing. ,"A happy, jolly tune. Like out of Sound of Music. Maybe featuring an accordion. "
364,The Water Lily Pond,5,"A deep sense of calm. Like honestly it really destresses me. The painting makes me to jump into it instead of living in the middle of snow storm right now. Also it gives off sort of a feeling of lost too, knowing that the garden won't last for ever. Eventually it's all going to go back to nature, or be redeveloped, or something else. ",4 - Agree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,1,1,$800,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members",Summer,Bread with butter,Pretty soft and sombre 
365,The Water Lily Pond,8,"When I look at this painting, I feel like I am in a big movie. The green garden is very pretty, but I feel like it is a secret place where a big story is starting.",2 - Disagree,4 - Agree,4 - Agree,3 - Neutral/Unsure,3,3,1000,Living room,Friends,Spring,ice-cream,main character
366,The Water Lily Pond,4,"Sunshine, going outside, and exploring",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,30,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Raw veggies,"natural, birds chirping"
367,The Water Lily Pond,3,Calm and soothed,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,2000000,"Bedroom,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,Fruit tart,"Classical music would play. Something cheerful, calm and slow. Clair de Lune, or Blue Danube, or a slow waltz. "
368,The Water Lily Pond,3,In a calm relaxed mood and makes me want to go on a day walk with a friend or lover and enjoy nature,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,3,$40,"Bathroom,Dining room",Family members,Spring,Strawberry ice cream,Some lovey music. maybe like a Lana Del Rey type song?
369,The Water Lily Pond,2,Comfortable and relaxed,4 - Agree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,1,$100,"Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,Something hopeful with a lot of string instruments and a flute
370,The Water Lily Pond,2,joyful and happy,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,150,"Bedroom,Bathroom,Office,Living room,Dining room","Family members,Coworkers/Classmates,By yourself","Spring,Summer,Fall",salad,a piano beat with singing and an upbeat track
371,The Water Lily Pond,8,Relax chill feel like sitting by the pond,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,2 - Disagree,6,6,1000,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Cake,breeze 
372,The Water Lily Pond,7,"Happy, calm and hopeful",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,100,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself",Spring,Vanilla cake with strawberries,Admiring small wonders
373,The Water Lily Pond,8,happy,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,6,2,40,Bathroom,By yourself,Summer,cupcake,calm 
374,The Water Lily Pond,6,"happy, its very vibrant ",2 - Disagree,4 - Agree,2 - Disagree,1 - Strongly disagree,3,1,$40,Bathroom,Family members,Summer,a club sandwhich,"The sound track would consist of alot of old pop songs from artists like taylor swift, katy perry, etc. "
375,The Water Lily Pond,6,"It makes me feel calm and relaxed. The soft colours feel peaceful, like a quiet moment where everything slows down.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,3,$300,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Spring,Summer","This painting would be a refreshing, colourful salad with lots of different toppings. ","It’d be slow and airy, with soft repeating melodies and a steady, soothing rhythm. Super peaceful, almost meditative, like music you’d put on to clear your head."
376,The Water Lily Pond,6,peaceful,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,1 - Strongly disagree,12,4,$40,Bedroom,Family members,"Spring,Summer,Fall",green peas,nature song
377,The Water Lily Pond,10,"Looking at it, I feel calm and relaxed. The colors are soft and gentle. The scene feels peaceful and quiet. There is a sense of balance and stillness, with a subtle feeling of movement in the details. Overall it makes me feel serene and focused.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,1,$100,"Bedroom,Living room","Friends,Family members","Spring,Summer"," It would be a fresh fruit salad, sweet, juicy, and bright, with a mix of soft textures and light, summery flavours.","The soundtrack would be gentle and airy. Soft, sustained tones move slowly and smoothly, with light, twinkling notes layered on top. The rhythm is calm and steady, with occasional rises that feel natural and unforced. Overall, it’s peaceful and soothing, with a subtle, flowing energy throughout."
378,The Water Lily Pond,10,This painting makes me feel like I am enjoying a calm and uneventful sunny evening next to a river/lake.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,4,10000 CAD,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Macaroni and cheese,Feels like some form of Beethoven music that feels expressive but calm.
379,The Water Lily Pond,8,Very happy and jolly. The various bright colors make the mood extremely positive and joyful. ,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,6,4,$60,Dining room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Hand-pulled noodles,Life goes on - BTS
380,The Water Lily Pond,4,"This painting makes me feel soothing, peaceful and relaxed. ",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,2,"500,000",Bathroom,Strangers,Spring,Salad,"The soundtrack would be soft and gentle, with slow, soothing melodies that drift gracefully in and out."
381,The Water Lily Pond,10,It makes me feel serene and gives me a sense of calmness. ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,225,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",It would be congee.,The soundtrack would have light piano similar to studio ghibli film soundtrack. There would be no lyrics. It would be kind of upbeat.
382,The Water Lily Pond,5,"Makes me feel nostalgic, and at peace.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,2,2,300,"Bedroom,Living room,Dining room","Friends,Family members","Spring,Summer",pistachio icecream,"A summer roadtrip kind of upbeat vibe, with some light lyrics."
383,The Water Lily Pond,7,This painting makes me feel happy because it makes me think of fun summer trips with friends and family.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,2,50,"Bedroom,Office,Living room","Friends,Family members","Spring,Summer",hot dogs,A hopeful soundtrack.
384,The Water Lily Pond,5,"happy, hopeful, romantic.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,200,Bathroom,"Friends,Family members",Spring,Mango,"A light, upbeat rhythm with a lilting melody and soft flute like notes, yet it feels like a solitary performance. bright on the surface, but quietly lonely underneath."
385,The Water Lily Pond,10,This painting makes me feel excited ,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,"100,000","Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",A salad,I can imagine a soft piano or a flute
386,The Water Lily Pond,7,"Hopeful, filled with life",1 - Strongly disagree,5 - Strongly agree,4 - Agree,2 - Disagree,1,1,"$500,000","Bedroom,Office,Living room","Friends,Family members",Spring,scone with strawberry jam,"birds singing, kids laughing"
387,The Water Lily Pond,6,Happy and calm,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,1,$35,"Living room,Dining room","Family members,By yourself","Spring,Summer",Eggs,"The soundtrack is soft and peaceful, maybe with some birds chirping in the background at the start of the soundtrack."
388,The Water Lily Pond,9,Makes me feel comfortable and safe to take a nap without worrying about assignments,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,3,25,"Living room,Dining room","Family members,By yourself",Summer,A salad,a simple beat and a medium to slow tempo. Similar to a lullaby. 
389,The Water Lily Pond,8,"satisfactory, calm, grateful",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,2,500,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Spring,sandwich ,"calm, peaceful, and smooth"
390,The Water Lily Pond,9,"Happy, excited, calm, and still.",1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,2,3,400,"Bathroom,Office,Living room","Friends,Family members,By yourself",Summer,pancakes,"It makes me feel calm and reflective, with a quiet sense of inspiration and gentle happiness."
391,The Water Lily Pond,8,Put a smile on my face. The painting is very appealing and reminds me of happy times.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,10000,"Bedroom,Office,Living room",By yourself,Spring,Salad.,Happy music.
392,The Water Lily Pond,3,"Feels calm, serene, peaceful, lively, and quiet.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,10000000,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",strawberries,"The soundtrack sounds serene and peaceful, with a joyful tune that goes along."
393,The Water Lily Pond,8,"Melancholy, Longing, Overwhelmed, Aching, but with hints of optimism and gratitude. Like waiting for someone you miss but the knowledge of their return in the future someday keeps you going.",5 - Strongly agree,4 - Agree,4 - Agree,2 - Disagree,2,2,150,Bedroom,By yourself,Fall,Thai peanut salad,A sombre melancholic violin and piano score with hints of hope.
394,The Water Lily Pond,9,"feel warm, peaceful",5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,5,5,$20,"Bedroom,Dining room",Family members,Spring,Matcha cake,"Soft piano and warm strings, slow tempo, "
395,The Water Lily Pond,6,"Cheerful and bright, fulfilled with myself.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,2,90,"Living room,Dining room","Friends,Family members,By yourself",Spring,Strawberry custard,"Good vibes, cheerful or uplifting, intending to draw out a light smile. Serene and playful."
396,The Water Lily Pond,1,Calm,3 - Neutral/Unsure,4 - Agree,4 - Agree,3 - Neutral/Unsure,6,5,$0.00,Office,By yourself,Spring,Salad,Cheerful
397,The Water Lily Pond,1,vibrant,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,4,350,"Bedroom,Living room","Family members,Strangers,By yourself",Spring,tea,enthusiastic
398,The Water Lily Pond,7,"It makes me feel happy and upbeat, but it makes me feel a bit weird since there aren’t any people or animals there, even though it looks like there should be",1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,4 - Agree,2,1,0,"Bathroom,Living room","Friends,Family members,Coworkers/Classmates,Strangers","Spring,Summer",Salad,It would just be the sounds of water flowing and the noises of animals like birds 
399,The Water Lily Pond,3,Vibrant,1 - Strongly disagree,2 - Disagree,1 - Strongly disagree,2 - Disagree,2,3,2000,"Office,Living room,Dining room","Friends,Coworkers/Classmates,Strangers",Spring,Green salad,"Rhythmic, warm percussion synthesizer"
400,The Water Lily Pond,7,"Calm, and peace",1 - Strongly disagree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,2,1,299,Bathroom,By yourself,Summer,Lotus root,🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩🟩
401,The Water Lily Pond,7,Calm and happy,5 - Strongly agree,4 - Agree,5 - Strongly agree,2 - Disagree,2,2,$350,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members","Spring,Summer",Salad,Calm guitar and waterfall background
402,The Water Lily Pond,7,energetic,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,2,1,350,Living room,Family members,Summer,cornucopia,"upbeat, chipper"
403,The Water Lily Pond,7,happy and relaxed,2 - Disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,4,3,"$3,000","Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,It would be a salad.,happy sounds soundtrack with spring sounds like bird songs or lake music
404,The Water Lily Pond,4,it makes me feel very calm and adventurous. I would want to go exploring as it makes me feel curious,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,0,"Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",a salad,it would sound very happy and excited. It reminds me of tip toe thru the tulips with me and subwoofer lullaby.
405,The Water Lily Pond,7,"Happy, I want to go take a walk.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,3,30,Living room,"Friends,Family members,By yourself","Spring,Summer",A jam sandwich for a picnic,I feel the sound track would be dynamic with a cheerful piano melody with the sound of birds chirping in the background.
406,The Water Lily Pond,6,Happy,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,1,2,10000000,"Bedroom,Living room,Dining room",Family members,"Spring,Summer",Salad,"The soundtrack would feel like summer, filled with soft, natural sounds, gentle movement, and subtle, rustling textures that create a calm and living atmosphere."
407,The Water Lily Pond,4,calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,4,$500,"Bedroom,Bathroom,Living room","Friends,Family members,By yourself",Spring,Alfredo Pasta,"calming, zen"
408,The Water Lily Pond,10,"Calm, happy, nostalgic, at peace, subdued, reflective.",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,8,3,$150,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Cheesecake.,"Romantic era classical music, orchestral music."
409,The Water Lily Pond,3,Lively,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,1,1,10000,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,green smoothie (maybe with kale),"a peaceful sound with natural sounds such as bird, wind and water"
410,The Water Lily Pond,7,Calm ,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,1,1,400,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Summer",Salad,"It's a little chaotic so I want to go for a ""loud"" kind of happy. Just a cacophony of noise that isn't necessarily unpleasant to listen to "
411,The Water Lily Pond,10,"Calm, serene, peaceful",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,100,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Cherries,"Calm, violin, piano"
412,The Water Lily Pond,5,Makes me feel at peace with nature.,5 - Strongly agree,4 - Agree,4 - Agree,2 - Disagree,2,3,$50,"Living room,Dining room","Friends,Family members,By yourself",Spring,It would be like a salad. The colours remind me of a salad as well as the overall items in the picture (greens).,A more relaxing nature kind of soundtrack with birds chirping and the sounds of nature.
413,The Water Lily Pond,9,"peaceful, amazed, admiration, calmness, longing, appreciation",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,1,50,"Bedroom,Living room","Family members,By yourself",Summer,Berries,"Lighthearted, playful strings, impressionist era music, birds chirping"
414,The Water Lily Pond,4,"It makes me feel relaxed and content. The soft colors and flowing brushstrokes give a peaceful, almost meditative feeling.",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,2,20,Living room,Family members,Spring,salad,"The soundtrack would be slow and gentle, with soft, flowing sounds and a steady rhythm. It would feel peaceful and relaxing, like a quiet moment to breathe."
415,The Water Lily Pond,3,The painting sort of lighten up my moods.,1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,1,1,$10,Living room,Friends,Summer,Lollipop ,Classics musicals especially the harp.
416,The Water Lily Pond,10,happy,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,4,100,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,pizza,ambient
417,The Water Lily Pond,6,"Happy, bright, joy.",1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,2,25,"Office,Living room","Family members,By yourself","Spring,Summer",A club sandwich.,"Warm, full of tones, mild tempo but not slow."
418,The Water Lily Pond,4,"Don't feel much, cool painting I guess. ",1 - Strongly disagree,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,2,1,$5,Living room,Strangers,Spring,A hearty soup. ,"Pop music, upbeat. "
419,The Water Lily Pond,1,feels like a regular painting. maybe calm.,3 - Neutral/Unsure,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,2,1,$5,Office,By yourself,Spring,apple ,"since this picture is calm, i would imagine meditation music once again. where this time someone is speaking to u and clearing your mind. so super low rhythm, and slow pace music."
420,The Water Lily Pond,8,"Comfortable, as in I want to be there physically ",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,3,"200,000 ",Office,By yourself,Summer,"Pralines and cream flavored ice cream, from haagen dazs","Maybe with some soft instrumental guitar (maybe country themed), or just raw ambient nature sounds"
421,The Water Lily Pond,8,It makes me feel plesant and rejuvenated.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,1,3,25000,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",A salad with minimal dressing.,The soundtrack would be cheerful and pleasant. It could use either an uplifting piano solo or a calm guitar solo in the background.
422,The Water Lily Pond,9,"relaxed, happy, grateful",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,500,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Spring,grapes,"cheery melodic paino, perhaps akin to some Legend of Zelda, Breath of the Wild soundtracks"
423,The Water Lily Pond,6,Happy and Hopeful,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,30,"Office,Living room","Friends,Family members,By yourself","Spring,Summer",Cherry Pie,"Vocal, warm and inviting"
424,The Water Lily Pond,7,This painting makes me feel joyful.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,50,"Office,Living room",Strangers,"Spring,Summer",Red velvet cake,Music with a river flowing and birds chirping
425,The Water Lily Pond,3,calm and happy,1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,1,50,Bathroom,By yourself,Spring,salad,there would be birds
426,The Water Lily Pond,4,Happy.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,2,3,$10,Bathroom,Family members,Spring,Salad,A fantasy like sound track with birds chirping and the magical sounds of fairy dust dissipating in the air. 
427,The Water Lily Pond,8,happy and calm,4 - Agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,$80,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",pizza,"upbeat, magical, harmony, piano"
428,The Water Lily Pond,9,warm and peaceful.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,2,1000,"Bedroom,Office,Living room,Dining room",By yourself,Summer,unagi rice,peaceful piano solo.
429,The Water Lily Pond,4,"Happy, smily, content, amazing",4 - Agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,10000,"Office,Living room","Friends,By yourself","Spring,Summer",ice cream sundae,"guitar strumming, campfire music, happiness, laughs in the background, kids running around"
430,The Water Lily Pond,7,"Calm, at peace, content",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,6,8,$30,"Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Thai rice paper rolls with fresh vegetables,Vivaldi - Spring
431,The Water Lily Pond,5,"light, free, happy. Calm ",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,2,65,Bedroom,Family members,"Spring,Summer",croissant,"Daisies by Justin Bieber -- matches the soft, romantic/cute environment of this painting. And the name of the song too matches the vibes."
432,The Water Lily Pond,8,"It makes me feel pretty happy. Its bright , there is a lot of nice green grass and trees. Even the river (if that's what it is) covered in greens looks pleasant as well. Overall it just gives me a nice bright and happy feeling. ",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,2,$500,Living room,"Friends,Family members,Coworkers/Classmates",Spring,It reminds me of an apple. Since it has a lot of green elements I guess it would be a green apple.,"The song track would definitely have a lot of bright music. Some of it might not even be music. Like if I designed a soundtrack based on this painting, the first song would be sounds of nature like birds chirping, animals walking along the grass, leaves rustling, that kind of stuff. Then I would start with the bright music. In between every few songs, there would be an interlude of nature sounds again. Then the soundtrack would end with a bittersweet song followed by a final interlude of the sounds of nature getting quieter as the sun begins to set. "
433,The Water Lily Pond,4,"Warm. Like it's a nice summer day. It's hot, but the slight breeze that is flowing through keeps it from being uncomfortable.",2 - Disagree,4 - Agree,3 - Neutral/Unsure,2 - Disagree,3,3,1,"Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself",Summer,A bland bowl of salad.,"Somewhat upbeat sounding. Still kind of quiet and calm, but does not sound sad or sombre, but uplifting."
434,The Water Lily Pond,7,"Happy and calm, I like the peaceful river and bridge. Nature too :)",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,2,70,Bedroom,"Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",green apples,"Superman ""Your Choices Your Actions"""
435,The Water Lily Pond,7,"this is giving like fantasy dreamlike vibe, makes me happy",1 - Strongly disagree,4 - Agree,4 - Agree,2 - Disagree,2,2,100,Living room,"Friends,Family members,Coworkers/Classmates,Strangers","Spring,Summer",matcha,water falling into pond type
436,The Water Lily Pond,6,Happy and at peace,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,4,500$,"Bedroom,Living room",By yourself,"Spring,Summer",A cake,Also slow classical music but higher pitched with a joyful/content vibe.
437,The Water Lily Pond,10,it makes me feel calm and content.,2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,3,10000000,"Bedroom,Bathroom",By yourself,Summer,it would be a egg and cheese sandwich.,it would be joyful and upbeat.
438,The Water Lily Pond,10,This painting makes me feel happy and cheerful. It makes me feel calm and lively.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,5,5,20000000,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",Chicken and turkey sandwich,Calm piece with chimes and bells. very happy major keys.
439,The Water Lily Pond,4,Calm,1 - Strongly disagree,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,3,2,50k,Bathroom,"Friends,Family members","Spring,Summer",Salmon,Country romance
440,The Water Lily Pond,7,Cheerful and enlighted,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,1,1000,"Bedroom,Bathroom,Living room,Dining room","Friends,Family members","Spring,Summer",apple,peaceful and happy music
441,The Water Lily Pond,9,"Calm, happy excited",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,2,500,"Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,apples,happy upbeat music
442,The Water Lily Pond,5,"It makes me feel calm and relaxed. Peaceful, gentle, and quietly happy.",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,1000,"Bedroom,Living room,Dining room","Friends,Family members","Spring,Summer","A light green tea cake or a fresh fruit tart—soft, refreshing, and soothing.","A slow, soft piece with gentle piano and light strings. Smooth, flowing, and quiet. Warm, peaceful, and meditative—like a calm afternoon breeze."
443,The Water Lily Pond,5,"It feels like a serene, timeless escape. The lush textures and soft light create a sense of deep tranquility and quiet wonder.",1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,3,3,500,"Bedroom,Dining room",Family members,Spring,Matcha Lychee Rose Mousse,"A shimmering wash of Impressionist piano and fluid woodwinds creating a sense of moist, eternal stillness."
444,The Water Lily Pond,10,"happy, longing",1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,1,100,"Bedroom,Living room","Friends,Family members,By yourself",Spring,croquembouche ,happy joyful songs with some soft singing
445,The Water Lily Pond,9,happy,1 - Strongly disagree,4 - Agree,4 - Agree,1 - Strongly disagree,3,2,55k,"Bathroom,Living room,Dining room",Family members,"Spring,Summer",salad,"nature sound, river, bird"
446,The Water Lily Pond,4,"This painting makes me feel calm and quietly absorbed. The soft blending of colors and gentle repetition creates a soothing rhythm, like a slow breath.",2 - Disagree,3 - Neutral/Unsure,4 - Agree,1 - Strongly disagree,5,2,50,Living room,By yourself,Spring,"It would be like a light, delicately layered dessert—something like a softly flavored mousse or a pastel macaron assortment. ","The soundtrack would be slow and airy, built from soft, sustained tones that blend smoothly into one another."
447,The Water Lily Pond,8,"It makes me feel open, happy and pleasant.",3 - Neutral/Unsure,4 - Agree,4 - Agree,2 - Disagree,4,4,150,"Office,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Summer",salad,"It would be calm but exciting with some ups and downs and not very dark, so the speed would be fast."
448,The Water Lily Pond,5,"peace, serenity, quiet, relaxed, content, comfort, casual, light, cheery",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,4,"$50,000","Bedroom,Bathroom","Friends,Family members","Spring,Summer",fruit salad,"major chord, light tone, happy, cheerful, clear piano, allegretto, flute and wind instruments, all high mid tone instruments"
449,The Water Lily Pond,1,bored,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,1 - Strongly disagree,3,3,1,Bathroom,Strangers,Spring,mushy lettuce,a light hum with natural audio
450,The Water Lily Pond,5,"Calm, at ease",1 - Strongly disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,1,300,"Bathroom,Living room","Friends,Family members,Coworkers/Classmates","Spring,Summer",Salad,It would be a calming melodic tune played primarily with a harp
451,The Water Lily Pond,3,"Calm, Happy",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,1,$750,"Bedroom,Bathroom","Strangers,By yourself",Spring,Spinach ,"Calm, flowy "
